plantMASST	NCBI_Genome	Transcriptome
Solanum maturecalvans	Fraxinus chinensis	Phormium tenax
Solanum macrocarpon	Fraxinus angustifolia	Phoenix dactylifera
Solanum lycopersicum	Fraxinus americana	Phoebe tavoyana
Solanum lasiocarpum	Frangula alnus	Phlox paniculata
Solanum heteracanthum	Fragaria x ananassa	Phlox drummondii
Solanum habrochaites	Fragaria vesca	Phlomis fruticosa
Solanum erythracanthum	Fragaria orientalis	Phleum pratense
Solanum dulcamara	Forsythia suspensa	Phillyrea latifolia
Solanum commersonii	Filipendula ulmaria	Phellodendron amurense
Solanum clandestinum	Ficus hirta	Phaseolus vulgaris
Solanum cladotrichum	Ficus carica	Phaseolus lunatus
Solanum chilense	Fallopia multiflora	Phaseolus coccineus
Solanum capsicoides	Fagus sylvatica	Phacelia campanularia
Solanum caavurana	Fagopyrum tataricum	Peumus boldus
Solanum bulbocastanum	Fagopyrum esculentum	Peucedanum japonicum
Solanum betaceum	Euptelea pleiosperma	Petunia x hybrida
Solanum asperum	Euphorbia tirucalli	Petunia exserta
Solanum argenteum	Euphorbia peplus	Petunia axillaris
Solanum arcanum	Euphorbia lathyris	Petroselinum crispum
Solanum aphyodendron	Eugenia uniflora	Petasites hybridus
Solanum americanum	Eucommia ulmoides	Persicaria orientalis
Soaresia velutina	Eucalyptus grandis	Persea americana
Smilax ferox	Eucalyptus camaldulensis	Perilla frutescens
Smilax china	Eschscholzia californica	Pereskia grandifolia
Smallanthus sonchifolius	Erythroxylum subrotundum	Peperomia pellucida
Sloanea terniflora	Erythroxylum coca	Pentanema britannica
Sloanea grandiflora	Erythroxylum citrifolium	Penstemon hartwegii
Sium sisarum	Erythranthe guttata	Penstemon eatonii
Sisyrinchium bellum	Erysimum cheiri	Penstemon davidsonii
Sisymbrium officinale	Eriobotrya japonica	Pelargonium graveolens
Siparuna thecaphora	Erigeron canadensis	Peganum harmala
Siparuna guianensis	Erigeron breviscapus	Paulownia tomentosa
Siparuna bifida	Eragrostis curvula	Paulownia fortunei
Sinosenecio villiferus	Eperua falcata	Pastinaca sativa
Sinomenium acutum	Ensete ventricosum	Passiflora tenuiloba
Sinapis alba	Elaeagnus angustifolia	Passiflora pittieri
Sinacalia tangutica	Echinochloa crus-galli	Passiflora oerstedii
Simmondsia chinensis	Dysphania ambrosioides	Passiflora edulis
Simira rubescens	Dracaena draco	Passiflora caerulea
Simarouba amara	Dracaena cambodiana	Passiflora biflora
Silybum marianum	Dipteronia sinensis	Passiflora auriculata
Silphium terebinthinaceum	Diospyros lotus	Paspalum vaginatum
Siler montanum	Diospyros kaki	Paspalum scrobiculatum
Silene vulgaris	Dimocarpus longan	Paspalum notatum
Silene firma	Digitaria exilis	Parietaria judaica
Silene dioica	Dichanthelium oligosanthes	Paraboea rufescens
Sigesbeckia pubescens	Dianthus caryophyllus	Papaver somniferum
Sigesbeckia glabrescens	Dendrobium officinale	Papaver rhoeas
Sideroxylon obtusifolium	Daucus carota	Papaver nudicaule
Sideroxylon lanuginosum	Datura stramonium	Papaver bracteatum
Sideritis pungens	Dasiphora fruticosa	Papaver atlanticum
Siderasis fuscata	Dactylis glomerata	Papaver armeniacum
Sida rhombifolia	Cyperus rotundus	Panicum virgatum
Sida abutifolia	Cyperus esculentus	Panicum miliaceum
Setaria viridis	Cynara cardunculus	Panicum hallii
Setaria italica	Cynanchum wilfordii	Pandanus amaryllifolius
Setaria barbata	Cymbopogon citratus	Panax notoginseng
Sesbania javanica	Cydonia oblonga	Panax ginseng
Sesbania emerus	Cyclocarya paliurus	Palicourea deflexa
Sesbania bispinosa	Curcuma longa	Palicourea brachiata
Sesamum radiatum	Cupressus sempervirens	Paeonia suffruticosa
Sesamum indicum	Cucurbita moschata	Paeonia lactiflora
Serenoa repens	Cucurbita maxima	Paeonia delavayi
Sequoiadendron giganteum	Cucumis sativus	Pachystachys lutea
Senna tora	Cucumis melo	Pachyrhizus erosus
Senna timoriensis	Cryptomeria japonica	Oxyspora paniculata
Senna sulfurea	Crotalaria pallida	Oxalis triangularis
Senna siamea	Crocus sativus	Ottochloa nodosa
Senna obtusifolia	Crataegus pinnatifida	Ottelia alismoides
Senna multijuga	Crataegus laevigata	Ostrya virginiana
Senna meridionalis	Crambe hispanica	Ostericum grosseserratum
Senna hebecarpa	Costus scaber	Osmanthus yunnanensis
Senna gaudichaudii	Corylus avellana	Osmanthus fragrans
Senna garrettiana	Corylus americana	Oryza sativa
Senna alexandrina	Cornus florida	Oryza longistaminata
Senegalia roemeriana	Corchorus olitorius	Oryza glaberrima
Senegalia polyphylla	Corchorus capsularis	Oryza barthii
Senecio scandens	Colocasia esculenta	Orobanche coerulescens
Senecio doronicum	Coffea canephora	Ormosia henryi
Sempervivum tectorum	Coffea arabica	Origanum vulgare
Selenicereus undatus	Codonopsis pilosula	Origanum majorana
Selaginella uncinata	Codonopsis lanceolata	Orchidantha maxillarioides
Selaginella tamariscina	Cocos nucifera	Opuntia streptacantha
Selaginella moellendorffii	Clitoria ternatea	Opuntia ficus-indica
Selaginella lepidophylla	Citrus x limon	Ononis spinosa
Selaginella kraussiana	Citrus x aurantium	Onoclea sensibilis
Selaginella delicatula	Citrus x aurantiifolia	Onobrychis viciifolia
Selaginella davidii	Citrus unshiu	Olea europaea
Seguieria aculeata	Citrus trifoliata	Oenothera speciosa
Sedum album	Citrus sinensis	Oenothera biennis
Secamone ligustrifolia	Citrus reticulata	Ocimum tenuiflorum
Secale cereale	Citrus cavaleriei	Ocimum basilicum
Sebastiania brasiliensis	Citrullus lanatus	Ochrosia elliptica
Scutia myrtina	Citrullus colocynthis	Nyssa sylvatica
Scutia eberhardtii	Cinnamomum aromaticum	Nyssa sinensis
Scutellaria rubicunda	Cinchona pubescens	Nymphaea nouchali
Scutellaria barbata	Cinchona calisaya	Nymphaea lotus
Scutellaria baicalensis	Cichorium intybus	Nymphaea alba
Scutellaria altissima	Cichorium endivia	Nothofagus obliqua
Scurrula parasitica	Cicer arietinum	Nigella damascena
Scrophularia nodosa	Cibotium barometz	Nicotiana tomentosiformis
Scrophularia ningpoensis	Chenopodium quinoa	Nicotiana tabacum
Scrophularia marilandica	Chelidonium majus	Nicotiana sylvestris
Scrophularia buergeriana	Chamaenerion angustifolium	Nicotiana rustica
Scopolia japonica	Cercis canadensis	Nicotiana glauca
Scleromitrion verticillatum	Ceratonia siliqua	Nicotiana benthamiana
Scleromitrion diffusum	Centella asiatica	Nicotiana attenuata
Scleria ciliaris	Cenchrus americanus	Nicotiana alata
Scindapsus officinalis	Catharanthus roseus	Nicandra physalodes
Sciadopitys verticillata	Casuarina equisetifolia	Nerium oleander
Schoenoplectus pungens	Castanea mollissima	Nephrolepis exaltata
Schnella rutilans	Castanea dentata	Nephrolepis biserrata
Schleichera oleosa	Castanea crenata	Nepeta cataria
Schlechtendalia luzulifolia	Carya illinoinensis	Nepenthes ventricosa x Nepenthes alata
Schkuhria pinnata	Carthamus tinctorius	Nepenthes rafflesiana
Schizonepeta tenuifolia	Carica papaya	Nepenthes ampullaria
Schizonepeta multifida	Carallia brachiata	Neoregelia carolinae
Schizachyrium scoparium	Capsicum chinense	Neolitsea sericea
Schisandra propinqua	Capsicum baccatum	Nemophila menziesii
Schisandra chinensis	Capsicum annuum	Nelumbo nucifera
Schinus terebinthifolia	Cannabis sativa	Nauclea officinalis
Schinopsis brasiliensis	Canna indica	Nardostachys jatamansi
Schima wallichii	Canavalia gladiata	Nandina domestica
Schima superba	Camellia sinensis	Myristica fragrans
Schima sinensis	Camellia japonica	Myosoton aquaticum
Scaphium affine	Camelina sativa	Mutarda arvensis
Scandix pecten-veneris	Calluna vulgaris	Musa basjoo
Scaevola taccada	Calendula officinalis	Musa acuminata
Scabiosa japonica	Cajanus cajan	Murraya koenigii
Scabiosa columbaria	Buxus sempervirens	Mucuna pruriens
Saxifraga stolonifera	Bruguiera cylindrica	Morus nigra
Saussurea amara	Brassica rapa	Morus alba
Saururus chinensis	Brassica oleracea	Moringa oleifera
Saurauia spectabilis	Brassica nigra	Morinda citrifolia
Satyrium nepalense	Brassica napus	Morella pensylvanica
Satureja montana	Brassica juncea	Monarda citriodora
Satureja hortensis	Brassica cretica	Momordica cochinchinensis
Sassafras albidum	Brassica carinata	Momordica charantia
Sarracenia flava	Brachythecium rutabulum	Mitragyna speciosa
Sarcomphalus thyrsiflorus	Brachypodium distachyon	Miscanthus floridulus
Sarcomphalus guatemalensis	Boswellia sacra	Mirabilis jalapa
Sarcococca ruscifolia	Borassus flabellifer	Mimosa pudica
Sarcobatus vermiculatus	Bombax ceiba	Mikania cordifolia
Sarcaulus brasiliensis	Boehmeria nivea	Metasequoia glyptostroboides
Saposhnikovia divaricata	Biancaea sappan	Mercurialis annua
Saponaria officinalis	Betula pendula	Menyanthes trifoliata
Sapium baccatum	Beta vulgaris	Mentha suaveolens
Sapindus saponaria	Bertholletia excelsa	Mentha spicata
Sanvitalia procumbens	Berberis thunbergii	Mentha canadensis
Santolina elegans	Berberis aquifolium	Mentha arvensis
Sansevieria trifasciata	Benincasa hispida	Mentha aquatica
Sansevieria metallica	Bellis perennis	Melissa officinalis
Sansevieria cylindrica	Bauhinia variegata	Melilotus officinalis
Sanicula astrantiifolia	Bassia scoparia	Melilotus albus
Sanguisorba officinalis	Ballota nigra	Melia azedarach
Sanguisorba minor	Azadirachta indica	Melaleuca alternifolia
Sanguinaria canadensis	Avena sativa	Megathyrsus maximus
Sambucus williamsii	Avena nuda	Medinilla magnifica
Sambucus sieboldiana	Avena barbata	Medicago truncatula
Sambucus racemosa	Aurinia saxatilis	Medicago sativa
Sambucus nigra	Astragalus membranaceus	Medicago lupulina
Sambucus javanica	Astragalus glycyphyllos	Mayaca fluviatilis
Sambucus canadensis	Asparagus officinalis	Mauritia flexuosa
Sambucus adnata	Asimina triloba	Matricaria chamomilla
Salvinia minima	Asclepias incarnata	Marsilea quadrifolia
Salvia verticillata	Asclepias curassavica	Marrubium vulgare
Salvia splendens	Artocarpus heterophyllus	Marchantia polymorpha
Salvia sclarea	Artemisia princeps	Maranta leuconeura
Salvia rosmarinus	Artemisia ludoviciana	Manilkara zapota
Salvia pratensis	Artemisia argyi	Manihot esculenta
Salvia officinalis	Artemisia annua	Mangifera indica
Salvia nemorosa	Arnica montana	Mammea americana
Salvia miltiorrhiza	Armoracia rusticana	Malva sylvestris
Salvia hispanica	Aristolochia fimbriata	Malva neglecta
Salvia glutinosa	Aristolochia californica	Malus sylvestris
Salvia divinorum	Argentina anserina	Malus sieversii
Salvia apiana	Areca catechu	Malus pumila
Salvadora persica	Arctium lappa	Malus niedzwetzkyana
Salvadora angustifolia	Arbutus unedo	Malus floribunda
Salsola tragus	Arachis stenosperma	Malus domestica
Salix nigra	Arachis ipaensis	Malania oleifera
Salix elaeagnos	Arachis hypogaea	Magnolia officinalis
Salix cinerea	Arabis hirsuta	Magnolia obovata
Salacighia letestuana	Arabis alpina	Magnolia grandiflora
Salacia impressifolia	Arabidopsis thaliana	Magnolia denudata
Salacia chinensis	Arabidopsis lyrata	Maclura tricuspidata
Sageretia thea	Aquilegia vulgaris	Maclura cochinchinensis
Sacciolepis striata	Aquilegia coerulea	Macleaya microcarpa
Saccharum officinarum	Aquilaria agallochum	Macleaya cordata
Sabia schumanniana	Apium graveolens	Macadamia integrifolia
Ruta montana	Apios americana	Lygodium japonicum
Ruta graveolens	Anthyllis vulneraria	Lycopus lucidus
Ruta corsica	Annona cherimola	Lycium chinense
Ruscus hypoglossum	Anethum graveolens	Lycium barbarum
Ruscus aculeatus	Anethum foeniculum	Lupinus luteus
Ruschia maxima	Andrographis paniculata	Lupinus albus
Ruprechtia laxiflora	Ananas comosus	Lunaria annua
Ruprechtia apetala	Anacardium occidentale	Luffa aegyptiaca
Rungia pectinata	Amorphophallus konjac	Luffa acutangula
Rungia klossii	Ambrosia artemisiifolia	Lotus corniculatus
Rumex stenophyllus	Amaranthus tuberculatus	Loropetalum chinense
Rumex scutatus	Amaranthus tricolor	Lophatherum gracile
Rumex nepalensis	Amaranthus retroflexus	Lonicera tatarica
Rumex japonicus	Amaranthus hypochondriacus	Lonicera maackii
Rumex crispus	Amaranthus hybridus	Lonicera japonica
Rumex acetosa	Amaranthus cruentus	Lolium rigidum
Rudbeckia laciniata	Alpinia oxyphylla	Lolium perenne
Rudbeckia hirta	Alpinia officinarum	Lolium multiflorum
Rubus phoenicolasius	Alpinia galanga	Lobularia maritima
Rubus parviflorus	Alnus glutinosa	Lobelia siphilitica
Rubus occidentalis	Allium sativum	Lobelia cardinalis
Rubus idaeus	Allium cepa	Lithospermum erythrorhizon
Rubus fruticosus	Alliaria petiolata	Lithocarpus litseifolius
Rubus coreanus	Alisma plantago-aquatica	Litchi chinensis
Rubus argutus	Alcea rosea	Liriope muscari
Rubus allegheniensis	Albizia julibrissin	Liriodendron tulipifera
Rubia tinctorum	Ailanthus altissimus	Liquidambar styraciflua
Rubia cordifolia	Agrostemma githago	Liquidambar formosana
Rubia argyi	Agave tequilana	Lippia alba
Ruagea glabra	Agastache rugosa	Linum usitatissimum
Rotheca serrata	Aesculus hippocastanum	Linum trigynum
Rotheca myricoides	Aegle marmelos	Linum perenne
Rosa rugosa	Aegilops speltoides	Linum grandiflorum
Rosa palustris	Adansonia rubrostipa	Linum flavum
Rosa multiflora	Adansonia grandidieri	Lindera obtusiloba
Rosa micrantha	Adansonia digitata	Lindera benzoin
Rosa laevigata	Actinidia deliciosa	Lindera aggregata
Rosa davurica	Actinidia chinensis	Lindenbergia philippensis
Rosa chinensis	Acorus gramineus	Linaria vulgaris
Rosa carolina	Acorus calamus	Limnanthes douglasii
Rosa canina	Acer saccharum	Lilium lancifolium
Rohdea japonica	Acer negundo	Lilium brownii
Robinia viscosa	Acer campestre	Ligustrum vulgare
Robinia pseudoacacia	Acacia crassicarpa	Ligustrum lucidum
Robinia hispida	Abrus precatorius	Liatris spicata
Rivina humilis	Abelmoschus esculentus	Levisticum officinale
Rinorea sylvatica		Leucophyllum frutescens
Ricinus communis		Leucanthemum vulgare
Riccia subbifurca		Leucaena leucocephala
Riccia sorocarpa		Lepidium sativum
Riccia pusilla		Lepidium meyenii
Riccia huebeneriana		Lepidium apetalum
Riccia gougetiana		Leonurus cardiaca
Riccia ciliifera		Leontopodium nivale
Riccia cavernosa		Leontodon hispidus
Riccia canaliculata		Lens culinaris
Riccia bifurca		Leersia hexandra
Riccia beyrichiana		Lavandula dentata
Ribes uva-crispa		Lavandula angustifolia
Ribes nigrum		Laurus nobilis
Ribes montigenum		Lathyrus sativus
Ribes cynosbati		Lathyrus oleraceus
Ribes cereum		Larix laricina
Ribes alpinum		Larix decidua
Rhytidiadelphus squarrosus		Lapsana communis
Rhus coriaria		Lanxangia tsao-ko
Rhus copallinum		Lamium purpureum
Rhus chinensis		Lamium album
Rhus aromatica		Lagenaria siceraria
Rhodostemonodaphne recurva		Lactuca virosa
Rhodostemonodaphne kunthiana		Lactuca sativa
Rhododendron tomentosum		Lactuca saligna
Rhododendron menziesii		Laburnum anagyroides
Rhododendron macrophyllum		Lablab purpureus
Rhododendron arborescens		Krascheninnikovia lanata
Rhodocoma capensis		Kitagawia praeruptora
Rhodiola rosea		Kerria japonica
Rhodiola kirilowii		Kalopanax septemlobus
Rhizophora mangle		Kadsura coccinea
Rhizophora apiculata		Juniperus virginiana
Rheum undulatum		Juniperus scopulorum
Rheum rhaponticum		Juniperus sabina
Rheum rhabarbarum		Juniperus communis
Rheum palmatum		Juncus effusus
Rheum officinale		Juglans sigillata
Rhaponticum scariosum		Juglans regia
Rhaphiolepis umbellata		Juglans nigra
Rhaphiolepis indica		Juglans cinerea
Rhaphidophora decursiva		Juglans cathayensis
Rhamnus utilis		Jeffersonia diphylla
Rhamnus subapetala		Jatropha podagrica
Rhamnus sphaerosperma		Jatropha multifida
Rhamnus parvifolia		Jasminum sambac
Rhamnus leptophylla		Jacobaea vulgaris
Rhamnus koraiensis		Jacaranda mimosifolia
Rhamnus hainanensis		Isoetes lacustris
Rhamnus globosa		Isodon ternifolius
Rhamnus erythroxylon		Isodon japonicus
Rhamnus dumetorum		Isatis tinctoria
Rhamnus diamantiaca		Iris pseudacorus
Rhamnus davurica		Iris lactea
Rhamnus crenata		Iris germanica
Rhamnus cathartica		Iris domestica
Rhamnella tonkinensis		Ipomoea triloba
Rhamnella franguloides		Ipomoea quamoclit
Reynoutria japonica		Ipomoea purpurea
Reseda media		Ipomoea nil
Reseda lutea		Ipomoea lobata
Renealmia pluriplicata		Ipomoea batatas
Renealmia cernua		Inula helenium
Renealmia alpinia		Inula conyza
Rehmannia glutinosa		Inga vera
Reboulia hemisphaerica		Inga umbellifera
Rauvolfia vomitoria		Inga spectabilis
Rauvolfia sellowii		Inga sapindoides
Rauvolfia media		Inga pezizifera
Rauvolfia leptophylla		Inga oerstediana
Ratibida pinnata		Inga leiocalycina
Ratibida columnifera		Inga laurina
Raphanus sativus		Inga capitata
Ranunculus repens		Inga brachystachys
Ranunculus acris		Inga alba
Randia armata		Inga alata
Radula complanata		Indigofera tinctoria
Quiina florida		Imperata cylindrica
Quercus x hawkinsiae		Impatiens balsamina
Quercus velutina		Illicium verum
Quercus suber		Ilex verticillata
Quercus stellata		Ilex paraguariensis
Quercus rubra		Ilex aquifolium
Quercus phellos		Hypericum perforatum
Quercus petraea		Hypericum kalmianum
Quercus pagoda		Hyoscyamus niger
Quercus muehlenbergii		Hylotelephium erythrostictum
Quercus michauxii		Hydrocotyle umbellata
Quercus marilandica		Hydrocharis dubia
Quercus lobata		Hydrangea quercifolia
Quercus ilex		Hydrangea macrophylla
Quercus glauca		Huperzia serrata
Quercus falcata		Humulus lupulus
Quercus coccinea		Hovenia acerba
Quercus alba		Houttuynia cordata
Quassia amara		Hordeum vulgare
Quassia africana		Holodiscus discolor
Quararibea asterolepis		Holocalyx balansae
Qualea grandiflora		Holmskioldia sanguinea
Pyrus communis		Holcus lanatus
Pyrrosia lingua		Holarrhena pubescens
Pyrrosia gralla		Hiptage benghalensis
Pyrola japonica		Hippophae rhamnoides
Pyracantha coccinea		Hildaea pallens
Pycnocoma chevalieri		Hibiscus syriacus
Pycnanthemum virginianum		Hibiscus sabdariffa
Pycnanthemum tenuifolium		Hibiscus cannabinus
Punica granatum		Heuchera sanguinea
Pulsatilla vulgaris		Heteropterys laurifolia
Pulsatilla cernua		Hesperis matronalis
Pueraria montana		Heracleum sphondylium
Ptychopetalum olacoides		Heptapleurum delavayi
Ptilochaeta bahiensis		Heptapleurum arboricola
Pterolobium stellatum		Hepatica nobilis
Pterodon emarginatus		Hemerocallis fulva
Pterocarpus rohrii		Hemerocallis citrina
Pterocarpus macrocarpus		Hemarthria compressa
Pteris similis		Helwingia omeiensis
Pteridium aquilinum		Helleborus foetidus
Ptelea trifoliata		Helleborus argutifolius
Psychotria tenuifolia		Heliotropium arborescens
Psychotria racemosa		Helianthus tuberosus
Psychotria psychotriifolia		Helianthus annuus
Psychotria poeppigiana		Helenium autumnale
Psychotria micrantha		Hedychium coronarium
Psychotria marginata		Hedera helix
Psychotria limonensis		Haworthia cooperi
Psychotria horizontalis		Handroanthus serratifolius
Psychotria hoffmannseggiana		Handroanthus impetiginosus
Psychotria grandis		Handroanthus chrysanthus
Psychotria graciliflora		Hamamelis virginiana
Psychotria gracilenta		Hamamelis vernalis
Psychotria chagrensis		Gypsophila vaccaria
Psychotria capitata		Gynostemma pubescens
Psychotria bacteriophila		Gynostemma pentaphyllum
Psorothamnus spinosus		Gynochthodes officinalis
Psophocarpus tetragonolobus		Gynandropsis gynandra
Psilotum nudum		Gymnocladus dioicus
Psidium guajava		Gymnanthemum amygdalinum
Psidium cattleyanum		Gunnera manicata
Psiadia glutinosa		Guilandina bonduc
Psiadia angustifolia		Guarea guidonia
Psiadia altissima		Griselinia littoralis
Pseudoturritis turrita		Grimmia pulvinata
Pseudotsuga menziesii		Grevillea robusta
Pseudolmedia rigida		Gossypium trilobum
Pseudolmedia macrophylla		Gossypium tomentosum
Pseudolmedia laevis		Gossypium stocksii
Pseudolmedia laevigata		Gossypium raimondii
Pseudognaphalium canescens		Gossypium mustelinum
Pseudocydonia sinensis		Gossypium klotzschianum
Pseudobombax septenatum		Gossypium hirsutum
Pseudobombax ellipticum		Gossypium herbaceum
Prunus virginiana		Gossypium davidsonii
Prunus tomentosa		Gossypium darwinii
Prunus spinosa		Gossypium barbadense
Prunus serotina		Gossypium australe
Prunus persica		Gossypium arboreum
Prunus mume		Gossypium anomalum
Prunus mongolica		Gonocaryum lobbianum
Prunus jamasakura		Glycyrrhiza uralensis
Prunus integrifolia		Glycyrrhiza lepidota
Prunus humilis		Glycyrrhiza glabra
Prunus dulcis		Glycine soja
Prunus domestica		Glycine max
Prunus dielsiana		Globba winitii
Prunus cerasus		Glehnia littoralis
Prunus brittoniana		Gleditsia triacanthos
Prunus avium		Gleditsia sinensis
Prunus armeniaca		Gleditsia japonica
Prunus amplifolia		Glechoma longituba
Prunus americana		Glechoma hederacea
Prunus africana		Ginkgo biloba
Prunella vulgaris		Geum urbanum
Prunella grandiflora		Geum rivale
Protium tenuifolium		Geranium pratense
Protium panamense		Geranium maculatum
Protium costaricense		Gentiana scabra
Protium confusum		Gentiana macrophylla
Proteopsis argentea		Gentiana cephalantha
Pristimera indica		Gentiana acaulis
Prismatomeris tetrandra		Gelsemium sempervirens
Prioria copaifera		Gastrodia elata
Primula vulgaris		Gardenia jasminoides
Primula veris		Garcinia mangostana
Primula auricula		Galium mollugo
Preslianthus pittieri		Galega officinalis
Praecereus saxicola		Fritillaria thunbergii
Pouzolzia sanguinea		Fritillaria cirrhosa
Pouteria torta		Fraxinus pennsylvanica
Pouteria reticulata		Fraxinus nigra
Pouteria hispida		Fraxinus excelsior
Pouteria durlandii		Fraxinus chinensis
Pouteria cuspidata		Fraxinus americana
Pouteria caimito		Frangula caroliniana
Pouteria bilocularis		Francoa appendiculata
Pouteria baehniana		Fragaria x ananassa
Pourouma minor		Fragaria vesca
Pourouma guianensis		Fragaria orientalis
Pourouma bicolor		Fouquieria macdougalii
Poulsenia armata		Forsythia suspensa
Potentilla verna		Flagellaria indica
Potentilla reptans		Flacourtia jangomas
Potentilla lineata		Fittonia albivenis
Potentilla erecta		Fissidens taxifolius
Potentilla chinensis		Filipendula ulmaria
Potamogeton perfoliatus		Ficus tikoua
Portulaca oleracea		Ficus obtusifolia
Portulaca grandiflora		Ficus hirta
Populus trichocarpa		Ficus carica
Populus tremuloides		Ficus benghalensis
Populus nigra		Ficus altissima
Populus grandidentata		Festuca rubra
Populus deltoides		Festuca pratensis
Populus alba		Ferula assa-foetida
Pontederia hastata		Fallopia multiflora
Pombalia prunifolia		Fagus sylvatica
Polytrichum strictum		Fagus grandifolia
Polytrias indica		Fagopyrum tataricum
Polystichum acrostichoides		Fagopyrum esculentum
Polyspora axillaris		Euterpe oleracea
Polypodium vulgare		Eurycoma longifolia
Polygonum suffultum		Euptelea pleiosperma
Polygonum plebeium		Euphorbia tirucalli
Polygonum cuspidatum		Euphorbia peplus
Polygonum aviculare		Euphorbia pekinensis
Polygonatum sibiricum		Euphorbia lathyris
Polygonatum odoratum		Euphorbia kansui
Polygonatum multiflorum		Eupatorium cannabinum
Polygonatum cyrtonema		Euonymus alatus
Polygala tenuifolia		Eugenia uniflora
Polygala fallax		Eugenia nesiotica
Polygala chamaebuxus		Eucommia ulmoides
Polemonium caeruleum		Eucalyptus grandis
Pogostemon cablin		Eucalyptus camaldulensis
Podophyllum peltatum		Eschweilera coriacea
Podocarpus oleifolius		Eschscholzia californica
Podocarpus madagascariensis		Erythroxylum coca
Podocarpus macrophyllus		Erythrina herbacea
Podocarpus ingensis		Erythranthe guttata
Podocarpus celatus		Erythranthe cardinalis
Podanthus ovatifolius		Erysimum cheiri
Poa pratensis		Eryngium foetidum
Plumeria rubra		Eruca vesicaria
Plumeria alba		Eriobotrya japonica
Plumbago indica		Erigeron canadensis
Pluchea indica		Erigeron breviscapus
Pluchea grevei		Eremophila lucida
Pleurothyrium trianae		Eremophila denticulata
Pleurostylia pachyphloea		Eragrostis curvula
Pleurostylia africana		Equisetum hyemale
Pleurolobus gangeticus		Epipremnum aureum
Pleiostachya pruinosa		Epimedium koreanum
Plectranthus bipinnatus		Epimedium brevicornu
Plectranthus barbatus		Ephedra viridis
Plectaneia stenophylla		Ephedra sinica
Platypodium elegans		Ephedra equisetina
Platycodon grandiflorus		Ensete ventricosum
Platycladus orientalis		Enkianthus quinqueflorus
Platycerium angolense		Encephalartos altensteinii
Platanus occidentalis		Emilia sonchifolia
Plantago media		Emblica officinalis
Plantago lanceolata		Elsholtzia fruticosa
Plantago asiatica		Elsholtzia ciliata
Plagiomnium undulatum		Eleutherococcus sessiliflorus
Pittosporum tobira		Eleutherococcus senticosus
Pithecellobium unguis-cati		Eleusine coracana
Pithecellobium dulce		Elettaria cardamomum
Pitcairnia flammea		Elaeagnus angustifolia
Pistia stratiotes		Edgeworthia chrysantha
Pistacia vera		Eclipta prostrata
Pistacia lentiscus		Echium vulgare
Pistacia chinensis		Echinochloa crus-galli
Pistacia atlantica		Echinacea purpurea
Pisonia zapallo		Echinacea angustifolia
Piranhea trifoliata		Dysphania ambrosioides
Piptolepis monticola		Duranta erecta
Piptolepis campestris		Dryopteris crassirhizoma
Piptadeniastrum africanum		Dryobalanops aromatica
Piptadenia buchtienii		Drosera burmannii
Piper wallichii		Drosera binata
Piper schiedeanum		Dracocephalum officinale
Piper sarmentosum		Dracaena cochinchinensis
Piper retrofractum		Dracaena cambodiana
Piper reticulatum		Dracaena angustifolia
Piper perlasense		Dovyalis caffra
Piper peltatum		Dolomiaea costus
Piper nigrum		Dodonaea viscosa
Piper methysticum		Dipteryx oleifera
Piper massiei		Dipteronia sinensis
Piper martensianum		Dipsacus fullonum
Piper marginatum		Dipsacus asperoides
Piper longum		Diplazium esculentum
Piper hostmannianum		Diospyros virginiana
Piper hispidum		Diospyros lotus
Piper fimbriulatum		Diospyros kaki
Piper erectipilum		Diospyros cathayensis
Piper cubeba		Dioscorea tokoro
Piper cordulatum		Dioscorea polystachya
Piper colonense		Dioscorea communis
Piper chaudocanum		Dioon edule
Piper betle		Dimocarpus longan
Piper auritum		Dillenia indica
Piper arboreum		Digitaria exilis
Piper aequale		Digitalis purpurea
Pinus virginiana		Dictamnus dasycarpus
Pinus taeda		Dicksonia antarctica
Pinus tabuliformis		Dichanthelium oligosanthes
Pinus sylvestris		Dianthus sylvestris
Pinus strobus		Dianthus chinensis
Pinus radiata		Dianthus caryophyllus
Pinus pungens		Desmanthus illinoensis
Pinus pinaster		Derris elliptica
Pinus nigra		Dendrocnide moroides
Pinus merkusii		Dendrobium officinale
Pinus longaeva		Dendrobium moniliforme
Pinus halepensis		Daucus carota
Pinus flexilis		Datura stramonium
Pinus fenzeliana		Datura metel
Pinus densiflora		Dasiphora fruticosa
Pinus banksiana		Daphniphyllum oldhamii
Pinellia ternata		Daphne giraldii
Pimpinella candolleana		Daphne genkwa
Pimpinella anisum		Dalea mollis
Pimenta dioica		Dalbergia odorifera
Pilosella officinarum		Dahlia pinnata
Piliostigma malabaricum		Dactylis glomerata
Pilea plataniflora		Cystopteris protrusa
Picris hieracioides		Cyperus rotundus
Picrasma quassioides		Cyperus papyrus
Picramnia latifolia		Cyperus esculentus
Picea pungens		Cyperus alternifolius
Picea mariana		Cynomorium songaricum
Picea glauca		Cynoglossum officinale
Picea engelmannii		Cynara cardunculus
Picea abies		Cynanchum wilfordii
Phytolacca americana		Cymbopogon citratus
Phytolacca acinosa		Cydonia oblonga
Physalis peruviana		Cyclocarya paliurus
Physalis angulata		Cycas siamensis
Phyllostylon rhamnoides		Cycas circinalis
Phyllostachys nigra		Cuscuta chinensis
